name,rate,rnk
Alabama A & M University,0.308718313,1886.0
University of Alabama at Birmingham,0.508549808,1002.0
University of Alabama in Huntsville,0.478211346,1134.0
Alabama State University,0.257481955,2036.0
The University of Alabama,0.666009354,435.0
Auburn University at Montgomery,0.285309228,1966.0
Auburn University,0.680930242,390.0
Birmingham Southern College,0.633327199,544.0
Concordia College Alabama,0.134843721,2274.0
South University-Montgomery,0.109872527,2322.0
Faulkner University,0.270732323,1999.0
Herzing University-Birmingham,0.323541176,1809.0
Huntingdon College,0.447984076,1261.0
Jacksonville State University,0.297699661,1922.0
Judson College,0.390415068,1529.0
University of West Alabama,0.330417768,1787.0
Miles College,0.189705012,2180.0
University of Mobile,0.457751174,1226.0
University of Montevallo,0.459535962,1218.0
University of North Alabama,0.322248727,1818.0
Oakwood University,0.371902479,1610.0
Samford University,0.702598672,344.0
Selma University,0.395748338,1497.0
University of South Alabama,0.350631543,1697.0
Spring Hill College,0.588991724,676.0
Southeastern Bible College,0.239086957,2086.0
Stillman College,0.257584545,2034.0
Talladega College,0.494891525,1054.0
Troy University,0.345579703,1727.0
Tuskegee University,0.448089488,1260.0
University of Alaska Anchorage,0.255403123,2043.0
University of Alaska Fairbanks,0.30914582,1883.0
University of Alaska Southeast,0.121454656,2301.0
Alaska Pacific University,0.463923711,1206.0
Charter College-Anchorage,0.34897899,1711.0
Everest College-Phoenix,0.332974973,1781.0
Collins College,0.379182391,1573.0
American Indian College of the Assemblies of God Inc,0.51063617,991.0
Carrington College-Phoenix,0.647021648,498.0
College America-Flagstaff,0.4667,1191.5
Brookline College-Phoenix,0.511348571,986.0
Arizona State University-Tempe,0.580479231,711.0
University of Arizona,0.613370272,590.0
Southwest University of Visual Arts-Tucson,0.8333,121.0
Brown Mackie College-Tucson,0.2973,1923.5
Embry-Riddle Aeronautical University-Prescott,0.571098753,747.0
Grand Canyon University,0.307268156,1891.0
Anthem College-Phoenix,0.547663019,856.0
ITT Technical Institute-Tucson,0.198269828,2167.0
ITT Technical Institute-Tempe,0.29525619,1935.0
Dine College,0.036441296,2363.0
Northern Arizona University,0.491979379,1069.0
University of Phoenix-Phoenix Campus,0.154078248,2246.0
Pima Medical Institute-Tucson,0.657440957,468.0
Prescott College,0.4079808,1446.0
Arizona Christian University,0.491083929,1072.0
Western International University,0.13582948,2271.0
University of Arkansas at Little Rock,0.226839293,2112.0
Arkansas Baptist College,0.149645885,2255.0
Lyon College,0.490784871,1074.0
University of Arkansas,0.602214707,628.0
University of Arkansas at Pine Bluff,0.267308412,2010.0
Arkansas State University-Main Campus,0.38261545,1559.0
Arkansas Tech University,0.405856422,1457.0
University of Arkansas at Monticello,0.273478589,1995.0
University of Central Arkansas,0.413384034,1415.0
Central Baptist College,0.346175,1722.0
Crowley's Ridge College,0.35895812,1660.0
Harding University,0.614734605,588.0
Henderson State University,0.316101825,1841.0
Hendrix College,0.706983837,335.0
John Brown University,0.666654585,434.0
Ouachita Baptist University,0.595446008,646.0
University of the Ozarks,0.479503509,1130.0
Philander Smith College,0.395163415,1499.0
Williams Baptist College,0.413801149,1414.0
Southern Arkansas University Main Campus,0.315372043,1842.0
University of Arkansas-Fort Smith,0.22785879,2110.0
Academy of Art University,0.317278166,1835.0
ITT Technical Institute-Rancho Cordova,0.369858904,1621.0
Art Center College of Design,0.664704192,441.0
Azusa Pacific University,0.640419615,514.0
Bethesda University of California,0.799988,170.0
Biola University,0.65301927,482.0
Brooks Institute,0.412449258,1422.0
Bryan University,0.10635,2327.0
California Baptist University,0.584425,694.0
California College of the Arts,0.535311957,900.0
California Institute of Technology,0.925128571,32.0
California Lutheran University,0.651769649,485.0
California Polytechnic State University-San Luis Obispo,0.708648521,332.0
California State University-Bakersfield,0.390511967,1527.0
California State University-Stanislaus,0.503997722,1021.0
California State University-San Bernardino,0.423612828,1370.0
California State Polytechnic University-Pomona,0.516180678,973.0
California State University-Chico,0.56593677,770.0
California State University-Dominguez Hills,0.284629995,1969.0
California State University-Fresno,0.48326252,1114.0
California State University-Fullerton,0.523553498,948.0
California State University-East Bay,0.394155463,1506.0
California State University-Long Beach,0.585847308,687.0
California State University-Los Angeles,0.360507616,1652.0
California State University-Northridge,0.468288564,1185.0
California State University-Sacramento,0.421065595,1379.0
University of California-Berkeley,0.908562722,49.0
University of California-Davis,0.812878484,149.0
University of California-Irvine,0.857361576,93.0
University of California-Los Angeles,0.909257524,48.0
University of California-Riverside,0.662386603,452.0
University of California-San Diego,0.860365464,88.0
University of California-Santa Barbara,0.804666207,161.0
University of California-Santa Cruz,0.735264493,287.0
California Christian College,0.22498,2115.0
California College San Diego,0.594334401,654.0
California Institute of the Arts,0.562066207,789.0
California Maritime Academy,0.58333,701.0
Chapman University,0.741656976,275.0
Charles R Drew University of Medicine and Science,0.61996,580.0
Concordia University-Irvine,0.569634177,756.0
San Diego Christian College,0.421067836,1378.0
Claremont McKenna College,0.923516726,35.0
Cogswell College,0.454527273,1237.0
Coleman University,0.548745122,848.0
Columbia College-Hollywood,0.345104425,1731.0
Design Institute of San Diego,0.566049057,769.0
Dominican University of California,0.551756071,838.0
Fashion Institute of Design & Merchandising-Los Angeles,0.602001112,629.0
Fashion Institute of Design & Merchandising-San Francisco,0.569754651,754.0
Fresno Pacific University,0.567752174,761.0
Harvey Mudd College,0.896279787,63.0
Holy Names University,0.371030189,1616.0
Humboldt State University,0.4025199,1472.0
Humphreys College-Stockton and Modesto Campuses,0.880579104,72.0
ITT Technical Institute-National City,0.278338144,1981.0
ITT Technical Institute-San Dimas,0.362310145,1644.0
ITT Technical Institute-Orange,0.349479612,1709.0
American Jewish University,0.75556,246.0
Life Pacific College,0.377962992,1579.0
The Art Institute of California-Argosy University San Diego,0.415116358,1410.0
University of La Verne,0.591302786,666.0
Laguna College of Art and Design,0.612206122,596.0
Lincoln University,0.793117241,180.0
La Sierra University,0.510509887,993.0
The Master's College and Seminary,0.552149618,833.0
The Art Institute of California-Argosy University San Francisco,0.352382619,1689.0
Loyola Marymount University,0.754957957,247.0
Marymount California University,0.33907125,1753.0
Menlo College,0.383601887,1556.0
Mills College,0.622771646,572.0
Mount St Mary's College,0.606038528,614.0
Musicians Institute,0.535174046,901.0
The National Hispanic University,0.381794545,1561.0
National University,0.428562857,1345.0
Newschool of Architecture and Design,0.333338462,1774.0
Notre Dame de Namur University,0.473898261,1157.0
Occidental College,0.86025,89.0
Otis College of Art and Design,0.552894562,829.0
Hope International University,0.429260488,1343.0
Pacific States University,0.571452381,743.0
Pacific Union College,0.438930363,1302.0
University of the Pacific,0.573581429,737.0
Pepperdine University,0.806765818,157.0
Pitzer College,0.843497561,110.0
Platt College-San Diego,0.6874875,372.0
Point Loma Nazarene University,0.735747423,286.0
Pomona College,0.957500797,9.0
Westwood College-South Bay,0.595421374,647.0
University of Redlands,0.723945455,306.0
San Diego State University,0.660979954,459.0
University of San Diego,0.754074589,248.0
San Francisco Art Institute,0.3039928,1902.0
San Francisco Conservatory of Music,0.688683019,370.0
San Francisco State University,0.463494766,1207.0
University of San Francisco,0.681869459,385.0
William Jessup University,0.481150943,1123.0
San Jose State University,0.475560486,1149.0
Santa Barbara Business College-Bakersfield,0.663451272,448.0
Westwood College-Los Angeles,0.269441969,2002.0
Santa Barbara Business College-Santa Maria,0.643846575,504.0
Santa Clara University,0.851596261,101.0
Scripps College,0.871083778,80.0
Shasta Bible College and Graduate School,0.458333333,1223.0
Simpson University,0.438821493,1304.0
Saint Mary's College of California,0.6475,496.0
Sonoma State University,0.543663967,877.0
Vanguard University of Southern California,0.533709908,906.0
Southern California Institute of Architecture,0.670234043,417.0
University of Southern California,0.906973406,50.0
Thomas Aquinas College,0.77845,206.0
Epic Bible College,0.228565714,2108.0
Westmont College,0.773086835,216.0
Whittier College,0.669698777,422.0
Woodbury University,0.510267123,995.0
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,0.255104082,2045.0
Adams State University,0.21733659,2132.0
University of Colorado Denver,0.429572559,1339.0
University of Colorado Colorado Springs,0.462917596,1209.0
University of Colorado Boulder,0.688399964,371.0
Colorado Christian University,0.394188641,1505.0
Colorado College,0.884835827,70.0
